student,doc_total,mock1_math,mock1_sci,mock2,avg_grade,math_grade,sci_grade
56942,20.5,33.4,34.1,58,97.66041667,99.25,95.73125
693650,28.4,33.5,30.5,44,96.57083333,96,95.9125
385665,26.07,34,33.9,65,93.275,89.25,92.975
863663,37,29.5,27.2,37,92.06875,89.75,94.05625
493225,29.27,32.5,32.1,59,93.75625,88,95.06875
824303,17.73,29,26.1,53,80.875,80.75,79.675
640097,20.97,23,21.6,46,86.20416667,82.75,87.0625
222068,30.47,24,25.7,39,88.89583333,88,89.4875
780295,18.93,28.8,13.7,36,94.81875,91.75,95.30625
90205,13,21.5,23,27,79.26666667,71.75,74.85
290560,20.03,21.5,25.5,31,84.64791667,82.5,82.44375
182060,22.27,18,25.5,35,94.34375,94.25,93.58125
685597,18.93,28,27,50,91.4625,87,91.3875
605856,21.73,23,18.7,48,92.6375,93.25,89.8625
883186,19.13,31.5,39.1,39,88.78333333,82.75,88
854245,34.3,28,37,46,86.1625,76.5,88.5875
263075,36.3,32,37.6,45,91.54375,86.5,94.33125
715952,34.27,30,40.1,56,96,95,95
694903,25.17,22.5,24.1,52,96.48125,96.5,96.34375
616599,40.23,35,40,63,93.88958333,91.25,95.61875
85412,24.27,25,27.6,47,91.2875,90.5,89.9625
361675,27.27,30,35.5,64,96.88541667,97.25,97.00625
834436,21.97,27.5,16,43,88.92291667,89.25,85.11875
699757,25.17,18.5,30.6,51,87.50833333,84.5,87.625
991096,19.97,23.5,20.5,37,91.83541667,88.25,91.45625
445083,20.4,21,20.6,34,84.30208333,79.25,84.05625
293251,19.87,31.1,18.5,34,89.87291667,83,93.01875
404896,22.87,24.5,28.6,62,90.52916667,91.5,92.4875
659201,26.8,32,33,66,97.18333333,99,95.35
61398,28.07,29.5,33.1,40,94.65625,92.5,94.26875
914146,37.1,29,28.5,60,93.24375,92,92.33125
826406,32.3,30,36.6,70,94.95208333,91.5,94.75625
485918,35.9,23.5,29.2,39,91.9875,89,91.9625
887899,30.13,30.5,33.5,51,91.18333333,89.75,90.8
734412,32.4,30,29.7,,96.675,94.75,96.675
823671,23.23,19.3,23.2,27,91.42916667,87.5,92.3875
304243,33.63,14.5,23.5,,93.00833333,85,95.225
593349,25.3,30.5,28.1,63,95.71666667,93.25,96.5
56026,27.87,29,28.1,39,94.28958333,93.75,93.91875
514554,21.87,32.5,28.1,40,92.6,90.5,93.5
461874,25.1,27.8,27,41,96.14166667,95.75,96.075
863336,26.07,25,24,51,83.93541667,83.25,84.35625
897072,34.8,29.5,30,57,93.23541667,93.5,90.80625
747776,19.5,24,46,45,95.25833333,96.25,94.325
652232,19.13,31,28,40,79.37916667,81.75,72.1875
524564,26.23,31.5,26.6,45,92.43125,95.75,91.54375
186599,26.3,18,17.7,,85.55833333,86,79.075
852193,26.67,33.7,34.5,70,91.525,92.25,86.925
679690,34.73,26,26.5,,92.45,89.5,90.25
295134,25.03,29.5,30.3,36,97.17708333,99.25,95.28125
179406,16.77,28,36.1,67,96.41666667,94.25,97.2
458055,26.63,28.5,28.5,47,94.86458333,95.5,95.69375
32421,21.47,20.5,21.6,34,92.74791667,91.25,92.39375
887985,19.2,28.9,24.6,55,93.15208333,90,92.65625
87709,36.93,31,36.2,67,96.90833333,93.75,97.775
338615,13.8,28,30,59,92.76041667,95,87.48125
734979,19.17,26.5,34.5,59,92.64791667,90.25,93.29375
551180,21.67,28,22.6,39,93.75416667,97,93.0625
853445,21.3,23.3,19.1,,93.5625,86.75,95.7375
30089,25,26.5,22,48,95.45416667,96,94.5625
457536,36.3,31,31.5,58,97.175,98.5,96.025
641342,38.9,25,30,64,97.04166667,97,97.525
317944,23.63,36,33,63,96.27291667,95.75,96.06875
453721,21.23,29,29.1,42.33,92.76041667,94.75,89.13125
269895,23.57,31,38.5,35,96.12708333,94.5,97.28125
495564,21.97,25.5,27.5,43,84.57916667,79.25,83.8875
784983,28.37,20.5,17.5,38,76.88333333,73.5,74.35
885830,31.43,23,25.5,56,86.71875,80.75,85.80625
745736,27.83,27.5,37.1,64,90.10208333,85.75,89.35625
692255,20.2,23.5,20.5,36,95.66666667,95.25,94.55
118724,32.4,23.5,37.5,56,93.80625,93.5,95.71875
400003,20.13,17,22.2,39,94.52291667,94.25,91.91875
346218,24.73,22,28,41,96.62291667,95,96.46875
772865,27.83,21,34.1,47,86.40416667,81,89.2125
69805,19.9,24.8,28.6,61,92.12708333,89.75,93.63125
340182,23.07,29.4,26.5,64,94.27083333,93.75,92.2625
141906,38.17,24.9,27.1,31,72.58125,69.75,66.79375
634100,25.9,28.5,36.5,39,95.84375,97.25,94.88125
480861,20.2,24.5,35,55,84.51875,78.75,89.00625
474221,16.37,21,18.6,42,82.46875,79.25,75.95625
968171,36.27,22.4,23.2,42,85.40208333,80.75,82.45625
94218,29.27,29,30.5,42,89.82291667,86.75,93.31875
387014,28.53,26.7,42.5,49,95.85,94.75,94.6
224535,27.8,26,26.5,63,86.65625,83.5,87.06875
51550,23.3,31,37.5,55,97.275,98.75,96.075
587149,20.8,28,20.6,48,88.98541667,85,88.35625
797355,16.5,23,44.7,64,96.47083333,97.75,96.8625
775811,25.17,29,25,68,90.03333333,90,88.9
993219,21.4,33.5,31.5,39,83.475,77.75,80.475
544672,24.2,30,32.1,67,94.88125,91.5,96.14375
120247,28.13,32,48,34,96.43958333,96.5,98.01875
919304,36.9,30.5,32.6,36,94.79166667,92.75,96.225
750586,26.1,26.5,34.5,69,96.7,97.5,97
789535,31.8,31.5,36.5,63,96.73541667,96.25,96.75625
778218,19.6,25.5,27.1,40,87.02916667,81.5,86.3875
209059,18.87,19,26.1,47,95.38333333,97,94.95
919171,24.6,25.5,24.1,28,94.09791667,93.5,93.19375
181388,21.63,23.5,28.7,55,95.3,94.75,95.75
547551,26.13,25,36.6,62,92.88541667,92,88.65625
377494,38.83,29.5,29.5,65,86.03125,87.75,84.74375
184306,33.1,24,27.1,42,93.55,90.25,93.2
832562,25.53,17,29.1,43,87.3625,82.5,88.7875
553102,25.07,30,41,75,98.45625,98.5,98.66875
986063,27.7,22.5,28.1,43,85.0125,81,87.4375
285826,26.93,31.5,34,35,92.14791667,92.5,89.74375
442196,32.5,27.5,24.5,33,90.06875,83,91.60625
650709,20.87,23,17.6,56,81.975,82,76.725
971323,26.8,23,30.2,38,91.15208333,90,94.85625
218796,22.07,27,25.1,44,96.30416667,95.75,95.9625
684896,24.9,28,30,34,87.49166667,83.5,88.575
137511,28.6,29,37.5,50,95.48333333,96.5,94.95
87526,19.3,29.5,22.6,34,89.6875,84,91.2625
679476,20.5,28.5,40,69,94.58333333,92.5,96.05
134052,20.23,23,24.5,45,91.2125,90,91.6375
344785,23.67,30,29,45,90.74166667,92.5,85.925
243936,33.27,29,31.5,64,95.44375,93.25,94.48125
958080,19.8,24,31.1,56,96.73125,97.75,96.24375
900162,29.13,27.5,31.6,51,93.5625,96.5,91.3875
688387,31,25.8,18.5,25,92.32291667,91.5,90.06875
388398,29.07,26,35.1,53,94.57291667,94.5,96.21875
578528,18.07,23,24.6,35,85.82083333,80.75,85.5125
20911,17.3,24.5,34.5,45,90.23333333,87.5,91.4
178687,24.43,30,20,,90.45833333,88.25,87.325
898238,17.3,25,24.7,45.33,85.24375,72.5,88.03125
990294,34.6,29,26.5,36,92.37916667,88.75,96.1875
652492,39,31,30.5,39,92.52291667,89.5,94.26875
224835,28.8,24,21.2,42,86.98958333,87,79.96875
