student,doc_quant,doc_qual,test_math,test_sci,test_fusion,activity
92522,11.9,40.8,28,49.5,43,30
692827,9.93,42,28,52,61,28
649500,12,39.6,30,50.5,68,24
208074,11.97,39.3,22,37.5,39,
524597,12,38.9,28,49,51,36
513775,10,40.7,24,57,41,36
799692,11,39.6,25,52,71,22
434671,12,38.4,26,46.5,51,26
292579,10.67,39.7,20,49,42,
810341,12,38.2,21,39.5,50,
804494,11.67,38.5,35,47.5,82,26
661266,11.57,38.5,27,55.5,71,30
662083,11.8,37.9,21,50,54,32
298485,9,40.4,31,52,48,28
970982,10.8,38.4,35,52,73,36
29641,11.87,37.3,25,53,63,24
132763,12,37.1,33,46,52,30
451184,12,37,28,38,55,24
982746,11.77,37.1,23,50.5,66,4
409,11.87,36.7,29,37,45,
62008,11.63,36.9,20,43,47,
894762,10,38.2,27,47,70,34
346603,12,36.1,18,54,65,-2
212060,11.4,36.6,30,51.5,45,18
376009,11.67,36.3,24,43.5,46,18
268044,12,35.9,29,48.5,49,34
147448,12,35.9,26,48,73,30
87179,10.37,37.4,22,26.5,50,
654856,11.43,36.1,21,37,63,32
539379,12,35.5,16,26,26,
607264,10.83,36.6,22,49,54,40
50981,12,35.3,25,48,46,18
416530,11.53,35.7,13,42,44,
965118,10.9,36.2,33,55,56,-6
318551,10,37.1,22,41.5,15,
907594,12,35,28,52,66,32
782204,11,36,26,49,67,34
144060,10,36.9,23,46,59,34
194609,9.8,37,24,44.5,55,4
647890,8.67,38.1,32,47.5,52,-58
820184,12,34.7,26,31,32,
950401,12,34.7,19,38,40,
88188,10.87,35.8,29,54,53,32
502087,8.33,38.3,30,50,72,18
888824,11.63,34.8,24,48,34,
486571,11.87,34.4,32,39,67,18
163853,11,35.2,28,44,40,14
86643,9,37,31,55,74,26
958649,9,36.9,24,43.5,47,14
928452,11.53,34.3,21,40.5,55,32
717367,11.27,34.5,22,40,37,
299603,9.63,35.9,22,52,58,22
30809,9.9,35.6,28,49,70,18
192336,10,35.4,20,32,41,
710345,10.8,34.5,31,45,76,40
254518,11.73,33.5,32,46.5,67,0
816122,10.37,34.8,26,50,77,22
46398,10.7,34.4,26,47,57,26
722533,8.97,36,33,44.5,56,26
933239,11.4,33.3,13,41,26,
159474,11.77,32.9,20,35,25,
376051,9.9,34.7,18,40,56,-18
561618,10.87,33.7,23,53,57,-4
341757,10.97,33.6,21,44,44,
127500,9.97,34.4,12,39,29,
862633,11.93,32.2,32,50,54,30
